partner,Nom,mandate,state,signature_date,last_debit_date
002615,Ampa Institut Masquefa,26150016980000000000000000000000000,esborrany,transferència ,transferència 
002616,AMPA SI TORRELLES,26160017060000000000000000000000000,valid,2015-03-05,2017-10-27
002617,AMPA LLI L'ESQUITX,26170020470000000000000000000000000,valid,2015-10-01,2017-11-10
002618,AMPA ESCOLA SUNYER,26180027820000000000000000000000000,esborrany,2015-10-01,2017-10-27
002619,AFA EBM MARGALLÓ,26190037660000000000000000000000000,valid,2015-12-01,2017-10-27
002620,AMPA EBM CASPOLINO,26200007920000000000000000000000000,esborrany,2014-09-30,2017-11-10
002621,AMPA EBM LA CASETA DEL BOSC DE CAN MARTORELL,26210008220000000000000000000000000,esborrany,2014-10-01,2017-10-27
002622,AMPA EB CAN CASAMADA,26220007880000000000000000000000000,valid,2015-02-23,2017-10-27
002623,AMPA LLIP EL LLEDONER,26230016820000000000000000000000000,esborrany,2014-10-14,2017-11-10
002624,AMPA EB COLORAINES,26240007950000000000000000000000000,valid,2015-08-01,2017-10-27
002625,AMPA IES BAIX A MAR,26250014330000000000000000000000000,valid,2017-10-01,2017-11-10
002626,AMPA EBM CLOT DE LA MEL,26260032460000000000000000000000000,valid,2014-10-01,2017-11-10
002627,AMPA LLAR D'INFANTS LOS VAILETS,26270024530000000000000000000000000,valid,2014-10-01,2017-11-10
002628,AMPA LLI CAN FOLGUERA,26280023680000000000000000000000000,valid,2014-10-14,2017-11-10
002629,AMPA IE DEL PRAT,26290035440000000000000000000000000,valid,2014-10-01,2017-11-10
002630,AMPA ESCOLA ARGENTONA,26300037730000000000000000000000000,valid,2015-02-25,2017-11-10
002631,AMPA INSTITUT LA ROMÀNICA,26310037360000000000000000000000000,valid,2014-11-12,2017-10-27
002632,AMPA COL·LEGI ISABEL DE VILLENA,26320028090000000000000000000000000,esborrany,2016-10-01,2017-11-10
002633,AMPA Escola Infantil Mafalda II,26330016640000000000000000000000000,esborrany,2014-11-20,2017-11-10
002634,AMPA EBM EL PETIT ROURE,26340008010000000000000000000000000,valid,2014-11-10,2017-11-10
002635,AMPA IES ALBA DEL VALLES,26350015740000000000000000000000000,esborrany,2017-02-01,2017-10-27
002636,AMPA EL ROC PETIT,26360032680000000000000000000000000,esborrany,2017-10-01,2017-10-27
002637,AMPA SES GURB,26370017040000000000000000000000000,valid,2017-10-01,2017-10-27
002638,AMPA LLAR EL PASSEIG,26380028800000000000000000000000000,esborrany,2015-10-01,2017-10-27
002639,AMPA EB ROCAFONDA,26390031590000000000000000000000000,valid,2015-04-01,2017-11-10
002640,AMPA EBM LA PITOTA,26400032130000000000000000000000000,valid,2015-03-04,2017-11-10
002641,AMPA ESCOLA DIVINA PASTORA,26410009820000000000000000000000000,valid,2014-10-01,2017-10-27
002642,AMPA EB LA DEVESA,26420007700000000000000000000000000,valid,2016-10-01,2017-11-28
002643,AMPA EBM SANT MEDIR,26430038550000000000000000000000000,esborrany,2014-10-01,2017-10-27
002644,AMPA LLI GIRAVOLT,26440008130000000000000000000000000,valid,2015-10-01,2017-11-10
002645,AMPA EB BARRUFETS,26450007300000000000000000000000000,valid,2016-06-01,2017-11-10
002646,AMPA LLI ESPÍGOL,26460008100000000000000000000000000,valid,2016-10-01,2017-11-28
002647,AMPA EBM CARABASSA,26470027180000000000000000000000000,valid,2014-10-01,2017-10-27
002648,AMPA INSTITUT CIRVIÀNUM,26480015850000000000000000000000000,valid,2015-01-05,2017-11-10
002649,AMPA EBM HORTA VERMELLA,26490008150000000000000000000000000,valid,,
002650,AMPA LLI GINESTA,26500008120000000000000000000000000,valid,2014-10-01,2017-11-10
002651,AMPA EBM LA CASA DE LA MUNTANYA,26510021570000000000000000000000000,esborrany,2015-01-05,2017-11-10
002652,AMPA EB ANTONIA SOLER,,,2014-11-21,2017-11-10
002653,AMPA IES JAUME BALMES,26530027070000000000000000000000000,valid,2015-08-01,2017-11-28
002654,AFA ESCOLA CASTELL DE DOSRIUS,26540025160000000000000000000000000,esborrany,2014-10-01,2017-10-27
